k,p,accuracy,time
40,2,81.25,0.20998525619506836
40,3,81.25,0.24203824996948242
40,4,81.25,0.21553802490234375
40,5,81.04166666666667,0.2210695743560791
40,6,80.83333333333333,0.2185513973236084
40,7,81.04166666666667,0.21256089210510254
40,8,80.83333333333333,0.22714638710021973
40,9,80.41666666666667,0.33190107345581055
40,10,80.41666666666667,0.2921569347381592
41,1,80.625,0.22568345069885254
41,2,81.45833333333333,0.1980576515197754
41,3,82.08333333333333,0.2502567768096924
41,4,81.66666666666667,0.2622237205505371
41,5,81.45833333333333,0.2608988285064697
41,6,81.45833333333333,0.24625873565673828
41,7,81.45833333333333,0.2662391662597656
41,8,81.45833333333333,0.23766732215881348
41,9,81.45833333333333,0.2770657539367676
41,10,81.45833333333333,0.2595033645629883
42,1,80.41666666666667,0.2144300937652588
42,2,80.83333333333333,0.17795562744140625
42,3,81.66666666666667,0.2727944850921631
42,4,81.25,0.26380085945129395
42,5,80.83333333333333,0.23306584358215332
42,6,80.83333333333333,0.2717723846435547
42,7,80.625,0.24646568298339844
42,8,80.625,0.23047113418579102
42,9,80.41666666666667,0.2761969566345215
42,10,80.41666666666667,0.26228904724121094
43,1,81.04166666666667,0.1842505931854248
43,2,81.25,0.21445965766906738
43,3,81.66666666666667,0.26273226737976074
43,4,81.66666666666667,0.2391190528869629
43,5,81.25,0.2540452480316162
43,6,81.45833333333333,0.2644805908203125
43,7,81.45833333333333,0.26329755783081055
43,8,81.45833333333333,0.22981762886047363
43,9,81.45833333333333,0.2740623950958252
43,10,81.45833333333333,0.26122570037841797
44,1,80.625,0.18001794815063477
44,2,80.625,0.2678682804107666
44,3,80.41666666666667,0.26287126541137695
44,4,80.625,0.2322237491607666
44,5,80.625,0.2794971466064453
44,6,80.41666666666667,0.2637138366699219
44,7,80.20833333333334,0.23017287254333496
44,8,80.41666666666667,0.2809317111968994
44,9,80.41666666666667,0.26627349853515625
44,10,80.41666666666667,0.21106910705566406
45,1,81.45833333333333,0.17726969718933105
45,2,80.83333333333333,0.16144895553588867
45,3,81.45833333333333,0.20906400680541992
45,4,81.875,0.2860848903656006
45,5,81.45833333333333,0.24920892715454102
45,6,81.25,0.22026753425598145
45,7,80.625,0.23639988899230957
45,8,80.83333333333333,0.25324416160583496
45,9,80.83333333333333,0.2652735710144043
45,10,80.625,0.22211623191833496
46,1,80.625,0.17711925506591797
46,2,80.20833333333334,0.16094136238098145
46,3,80.41666666666667,0.217756986618042
46,4,80.20833333333334,0.23392796516418457
46,5,79.58333333333333,0.2201066017150879
46,6,79.16666666666666,0.20899319648742676
46,7,79.79166666666667,0.23789000511169434
46,8,79.79166666666667,0.22109079360961914
46,9,79.79166666666667,0.20864057540893555
46,10,79.79166666666667,0.2321770191192627
47,1,81.66666666666667,0.163893461227417
47,2,81.45833333333333,0.15727686882019043
47,3,81.25,0.23254966735839844
47,4,81.45833333333333,0.22080039978027344
47,5,80.83333333333333,0.2110147476196289
47,6,80.625,0.2446131706237793
47,7,80.41666666666667,0.22141790390014648
47,8,80.625,0.21945524215698242
47,9,80.625,0.2113480567932129
47,10,80.625,0.22068095207214355
48,1,80.20833333333334,0.16368675231933594
48,2,80.20833333333334,0.15370512008666992
48,3,80.20833333333334,0.21953606605529785
48,4,80.20833333333334,0.22428464889526367
48,5,79.58333333333333,0.2089223861694336
48,6,80.0,0.25515007972717285
48,7,80.20833333333334,0.2199726104736328
48,8,79.79166666666667,0.21158480644226074
48,9,79.79166666666667,0.23694062232971191
48,10,79.58333333333333,0.21922683715820312
49,1,81.875,0.16314005851745605
49,2,81.66666666666667,0.1794452667236328
49,3,81.45833333333333,0.2517094612121582
49,4,81.45833333333333,0.211273193359375
49,5,80.83333333333333,0.28852081298828125
49,6,80.83333333333333,0.22082114219665527
49,7,80.83333333333333,0.20992636680603027
49,8,80.625,0.23179173469543457
49,9,80.625,0.22022032737731934
49,10,80.625,0.22376751899719238
50,1,79.79166666666667,0.15278053283691406
50,2,80.0,0.19640684127807617
50,3,81.25,0.21959877014160156
50,4,80.625,0.2089238166809082
50,5,79.79166666666667,0.2548346519470215
50,6,79.58333333333333,0.21999502182006836
50,7,80.0,0.27544593811035156
50,8,79.79166666666667,0.24700403213500977
50,9,79.79166666666667,0.2268204689025879
50,10,79.79166666666667,0.20979642868041992
51,1,80.625,0.2003011703491211
51,2,80.625,0.16173624992370605
51,3,81.66666666666667,0.21058940887451172
51,4,81.45833333333333,0.2521936893463135
51,5,81.04166666666667,0.21871709823608398
51,6,80.625,0.21214628219604492
51,7,80.83333333333333,0.2381577491760254
51,8,80.625,0.22094368934631348
51,9,80.20833333333334,0.20962977409362793
51,10,80.41666666666667,0.23265910148620605
52,1,79.79166666666667,0.16214370727539062
52,2,80.0,0.16034221649169922
52,3,79.375,0.21590185165405273
52,4,80.0,0.2512502670288086
52,5,79.58333333333333,0.2198488712310791
52,6,79.58333333333333,0.21396112442016602
52,7,79.79166666666667,0.29488158226013184
52,8,79.58333333333333,0.26186680793762207
52,9,79.79166666666667,0.23070621490478516
52,10,79.79166666666667,0.28902697563171387
53,1,80.20833333333334,0.20919346809387207
53,2,80.41666666666667,0.2131671905517578
53,3,81.04166666666667,0.27663302421569824
53,4,81.04166666666667,0.2619197368621826
53,5,80.41666666666667,0.23106670379638672
53,6,80.41666666666667,0.2710895538330078
53,7,80.20833333333334,0.26207637786865234
53,8,80.625,0.230332612991333
53,9,80.41666666666667,0.26065540313720703
53,10,80.20833333333334,0.26088428497314453
54,1,80.0,0.18810462951660156
54,2,79.79166666666667,0.2681586742401123
54,3,79.16666666666666,0.29032468795776367
54,4,79.79166666666667,0.2691075801849365
54,5,79.58333333333333,0.23278355598449707
54,6,79.58333333333333,0.2887992858886719
54,7,79.375,0.2656092643737793
54,8,79.375,0.23309731483459473
54,9,79.375,0.2837557792663574
54,10,79.58333333333333,0.26578402519226074
55,1,80.625,0.18421459197998047
55,2,80.83333333333333,0.22865962982177734
55,3,80.83333333333333,0.27353572845458984
55,4,81.25,0.23328065872192383
55,5,80.625,0.27616214752197266
55,6,80.625,0.26277637481689453
55,7,80.41666666666667,0.2309098243713379
55,8,80.41666666666667,0.2662842273712158
55,9,80.20833333333334,0.2649219036102295
55,10,80.20833333333334,0.2307417392730713
56,1,79.58333333333333,0.21697783470153809
56,2,79.58333333333333,0.2119436264038086
56,3,79.16666666666666,0.2346189022064209
56,4,79.58333333333333,0.28531432151794434
56,5,79.58333333333333,0.26480937004089355
56,6,79.375,0.26383399963378906
56,7,79.58333333333333,0.23045778274536133
56,8,79.58333333333333,0.2704474925994873
56,9,79.375,0.2635924816131592
56,10,79.16666666666666,0.22948837280273438
57,1,80.20833333333334,0.20975470542907715
57,2,80.625,0.20908331871032715
57,3,80.625,0.23125624656677246
57,4,80.83333333333333,0.2796752452850342
57,5,80.625,0.2719428539276123
57,6,80.41666666666667,0.23044061660766602
57,7,80.41666666666667,0.28496432304382324
57,8,80.41666666666667,0.26365208625793457
57,9,80.41666666666667,0.2332468032836914
57,10,80.41666666666667,0.29053354263305664
58,1,79.16666666666666,0.22410058975219727
58,2,79.16666666666666,0.17813563346862793
58,3,79.79166666666667,0.3079664707183838
58,4,80.0,0.26332545280456543
58,5,79.79166666666667,0.23195767402648926
58,6,80.0,0.2775261402130127
58,7,79.79166666666667,0.27277350425720215
58,8,79.79166666666667,0.27903103828430176
58,9,79.58333333333333,0.24029946327209473
58,10,79.375,0.26441478729248047
59,1,80.20833333333334,0.21532225608825684
59,2,80.83333333333333,0.17996883392333984
59,3,80.41666666666667,0.2780430316925049
59,4,80.20833333333334,0.2632012367248535
59,5,80.0,0.23311805725097656
59,6,80.0,0.2758169174194336
59,7,80.0,0.2715489864349365
59,8,80.0,0.23203325271606445
59,9,79.79166666666667,0.2718958854675293
59,10,79.79166666666667,0.2590830326080322
60,1,79.375,0.17845845222473145
60,2,79.58333333333333,0.23823094367980957
60,3,79.79166666666667,0.2632331848144531
60,4,79.79166666666667,0.23190784454345703
60,5,79.58333333333333,0.2693154811859131
60,6,79.58333333333333,0.26653122901916504
60,7,79.58333333333333,0.29118847846984863
60,8,79.375,0.23274922370910645
60,9,79.375,0.2770202159881592
60,10,79.375,0.26287412643432617
61,1,80.20833333333334,0.17447233200073242
61,2,80.625,0.21996402740478516
61,3,80.20833333333334,0.26391077041625977
61,4,80.20833333333334,0.23249554634094238
61,5,80.41666666666667,0.26993894577026367
61,6,80.41666666666667,0.26478028297424316
61,7,80.41666666666667,0.23041772842407227
61,8,80.0,0.26849865913391113
61,9,79.79166666666667,0.26738739013671875
61,10,80.0,0.23470520973205566
62,1,79.58333333333333,0.2227165699005127
62,2,79.79166666666667,0.21235203742980957
62,3,79.79166666666667,0.2322673797607422
62,4,79.79166666666667,0.27875232696533203
62,5,79.79166666666667,0.262554407119751
62,6,79.79166666666667,0.23302602767944336
62,7,79.58333333333333,0.22535967826843262
62,8,79.79166666666667,0.22515153884887695
62,9,79.375,0.21860504150390625
62,10,79.375,0.24141669273376465
63,1,80.625,0.211442232131958
63,2,80.41666666666667,0.2125108242034912
63,3,80.0,0.2328481674194336
63,4,80.20833333333334,0.2933049201965332
63,5,79.79166666666667,0.25673532485961914
63,6,80.20833333333334,0.24033069610595703
63,7,80.41666666666667,0.27312684059143066
63,8,80.41666666666667,0.2645449638366699
63,9,80.41666666666667,0.23144102096557617
63,10,80.41666666666667,0.2745177745819092
64,1,79.375,0.20763850212097168
64,2,80.0,0.17578792572021484
64,3,79.58333333333333,0.25963926315307617
64,4,79.375,0.2586402893066406
64,5,79.58333333333333,0.22324800491333008
64,6,79.375,0.24795913696289062
64,7,79.58333333333333,0.2461531162261963
64,8,79.79166666666667,0.23805880546569824
64,9,79.58333333333333,0.2498035430908203
64,10,79.58333333333333,0.2472829818725586
65,1,80.20833333333334,0.19765329360961914
65,2,80.41666666666667,0.21657395362854004
65,3,80.0,0.2662365436553955
65,4,80.0,0.23325300216674805
65,5,80.20833333333334,0.27188777923583984
65,6,80.0,0.2647233009338379
65,7,80.20833333333334,0.23664021492004395
65,8,80.20833333333334,0.3123459815979004
65,9,80.0,0.26459336280822754
65,10,79.79166666666667,0.210862398147583
66,1,79.375,0.1821434497833252
66,2,80.0,0.18700957298278809
66,3,79.375,0.2653682231903076
66,4,79.58333333333333,0.2314136028289795
66,5,79.79166666666667,0.26940417289733887
66,6,79.79166666666667,0.32397031784057617
66,7,79.58333333333333,0.25915074348449707
66,8,79.58333333333333,0.2830209732055664
66,9,79.58333333333333,0.2903752326965332
66,10,79.58333333333333,0.23738718032836914
67,1,80.0,0.24117493629455566
67,2,80.625,0.25775623321533203
67,3,80.41666666666667,0.24417495727539062
67,4,80.0,0.2760167121887207
67,5,80.0,0.2808988094329834
67,6,80.625,0.234483003616333
67,7,80.625,0.28012800216674805
67,8,80.41666666666667,0.27588701248168945
67,9,80.41666666666667,0.21405458450317383
67,10,80.20833333333334,0.2332754135131836
68,1,79.79166666666667,0.1657733917236328
68,2,79.79166666666667,0.15601181983947754
68,3,79.79166666666667,0.24452424049377441
68,4,79.58333333333333,0.26404809951782227
68,5,79.375,0.22912096977233887
68,6,79.79166666666667,0.21073412895202637
68,7,79.79166666666667,0.23920369148254395
68,8,80.0,0.2208099365234375
68,9,80.0,0.2414231300354004
68,10,80.0,0.2339463233947754
69,1,80.0,0.16161608695983887
69,2,80.20833333333334,0.160491943359375
69,3,80.20833333333334,0.2351970672607422
69,4,80.625,0.22150111198425293
69,5,80.625,0.21031904220581055
69,6,80.625,0.2720012664794922
